,time,posEst_J_0,posEst_J_1,posEst_J_2,velEst_J_0,velEst_J_1,velEst_J_2,angRateEst_LI_L_0,angRateEst_LI_L_1,angRateEst_LI_L_2
0,0.0,-1175010.2023953344,6663813.998709988,1193136.6287494784,-7538.259079254767,-1329.1984632431659,8.138993217211622e-14,0.0,-0.0010919223538099756,0.0
1,0.5,-1178778.9702026737,6663147.352506457,1193136.2622207066,-7537.534842843202,-1333.2922705220062,-0.7330574661669701,0.0,-0.001091923375365288,0.0
2,1.0,-1182547.3747339614,6662478.659603576,1193135.5291632244,-7536.808290816374,-1337.3856687886228,-1.4661148096036092,0.0,-0.0010919243969212894,0.0
3,1.5,-1186315.4148315042,6661807.9202065,1193134.4295772093,-7536.079423402838,-1341.4786567475737,-2.199171798360738,0.0,-0.0010919254184779657,0.0
4,2.0,-1190083.089337723,6661135.134521031,1193132.9634629544,-7535.348240831921,-1345.5712331035556,-2.9322282004894644,0.0,-0.0010919264400353012,0.0
5,2.5,-1193850.3970951543,6660460.302753616,1193131.130820869,-7534.614743333728,-1349.6633965614033,-3.6652837840411854,0.0,-0.0010919274615932826,0.0
6,3.0,-1197617.3369464495,6659783.425111353,1193128.9316514786,-7533.878931139137,-1353.75514582609,-4.398338317067676,0.0,-0.0010919284831518968,0.0
7,3.5,-1201383.9077343764,6659104.501801986,1193126.3659554243,-7533.140804479802,-1357.846479602729,-5.131391567621175,0.0,-0.0010919295047111268,0.0
8,4.0,-1205150.1083018184,6658423.5330339065,1193123.433733463,-7532.40036358815,-1361.9373965965726,-5.864443303754469,0.0,-0.00109193052627096,0.0
9,4.5,-1208915.937491776,6657740.519016153,1193120.1349864684,-7531.6576086973855,-1366.0278955130138,-6.597493293520981,0.0,-0.0010919315478313844,0.0
10,5.0,-1212681.3941473665,6657055.459958412,1193116.4697154292,-7530.912540041486,-1370.1179750575864,-7.330541304974855,0.0,-0.0010919325693923827,0.0
11,5.5,-1216446.4771118246,6656368.356071016,1193112.437921451,-7530.165157855205,-1374.207633935965,-8.063587106171042,0.0,-0.00109193359095394,0.0
12,6.0,-1220211.1852285026,6655679.207564945,1193108.0396057544,-7529.415462374068,-1378.2968708539665,-8.796630465165387,0.0,-0.0010919346125160458,0.0
13,6.5,-1223975.5173408713,6654988.014651827,1193103.2747696768,-7528.663453834377,-1382.3856845175496,-9.529671150014716,0.0,-0.0010919356340786833,0.0
14,7.0,-1227739.4722925196,6654294.777543935,1193098.1434146713,-7527.909132473207,-1386.4740736328156,-10.262708928776917,0.0,-0.0010919366556418387,0.0
15,7.5,-1231503.0489271558,6653599.496454191,1193092.6455423066,-7527.1524985284095,-1390.5620369060093,-10.995743569511033,0.0,-0.0010919376772054981,0.0
16,8.0,-1235266.246088607,6652902.171596163,1193086.781154268,-7526.393552238607,-1394.6495730435188,-11.728774840277344,0.0,-0.0010919386987696485,0.0
17,8.5,-1239029.0626208205,6652202.803184065,1193080.550252356,-7525.632293843199,-1398.7366807518765,-12.461802509137454,0.0,-0.001091939720334273,0.0
18,9.0,-1242791.4973678633,6651501.391432758,1193073.9528384882,-7524.868723582355,-1402.8233587377595,-13.194826344154379,0.0,-0.0010919407418993592,0.0
19,9.5,-1246553.5491739232,6650797.936557751,1193066.988914697,-7524.102841697023,-1406.9096057079896,-13.927846113392626,0.0,-0.0010919417634648932,0.0
20,10.0,-1250315.2168833085,6650092.438775198,1193059.6584831313,-7523.334648428922,-1410.9954203695343,-14.660861584918289,0.0,-0.0010919427850308592,0.0
21,10.5,-1254076.499340449,6649384.898301899,1193051.9615460562,-7522.564144020545,-1415.0808014295073,-15.393872526799127,0.0,-0.0010919438065972447,0.0
22,11.0,-1257837.3953898961,6648675.315355303,1193043.8981058523,-7521.79132871516,-1419.1657475951686,-16.126878707104655,0.0,-0.0010919448281640348,0.0
23,11.5,-1261597.9038763233,6647963.690153501,1193035.4681650163,-7521.016202756805,-1423.2502575739252,-16.85987989390623,0.0,-0.0010919458497312166,0.0
24,12.0,-1265358.023644526,6647250.022915234,1193026.671726161,-7520.2387663902955,-1427.3343300733318,-17.59287585527713,0.0,-0.0010919468712987735,0.0
